No.,shop_name,repair_tag_1,min_price_1,spend_time_1,note_1,repair_tag_2,min_price_2,spend_time_2,note_2,repair_tag_3,min_price_3,spend_time_3,note_3,repair_tag_4,min_price_4,spend_time_4,note_4,repair_tag_5,min_price_5,spend_time_5,note_5,repair_tag_6,min_price_6,spend_time_6,note_6,repair_tag_7,min_price_7,spend_time_7,note_7,repair_tag_8,min_price_8,spend_time_8,note_8,repair_tag_9
1,ร้านนวลศรี(พี่กล้วย) เย็บผ้า ย้อมผ้า ปะแก้ เปลี่ยนซิป เปลี่ยนทรง ตัดขา,TRUE,40,ทุกงานใช้เวลา 3 วัน ไม่แน่ใจให้โทรมาถามก่อน,งานธรรมดา 40 งานยีนส์ 50,TRUE,10,ทุกงานใช้เวลา 3 วัน ไม่แน่ใจให้โทรมาถามก่อน,,TRUE,50,ทุกงานใช้เวลา 3 วัน ไม่แน่ใจให้โทรมาถามก่อน,,TRUE,50,ทุกงานใช้เวลา 3 วัน ไม่แน่ใจให้โทรมาถามก่อน,,TRUE,40,ทุกงานใช้เวลา 3 วัน ไม่แน่ใจให้โทรมาถามก่อน,งานธรรมดา 40 งานยีนส์ 50,TRUE,20,ทุกงานใช้เวลา 3 วัน ไม่แน่ใจให้โทรมาถามก่อน,ราคาคิด / ดูตามรอยแผล,TRUE,50,ทุกงานใช้เวลา 3 วัน ไม่แน่ใจให้โทรมาถามก่อน,,TRUE,50,ทุกงานใช้เวลา 3 วัน ไม่แน่ใจให้โทรมาถามก่อน,นำผ้ามาเอง ,แก้ทรงเสื้อผ้า
2,ห้องเสื้อ วัชรากรณ์,TRUE,50,,,TRUE,20,,แล้วแต่งาน มากน้อย,TRUE,80,,80-200 ตามงาน,FALSE,,,,TRUE,80,,80-100 แล้วแต่งาน,FALSE,,,,FALSE,,,,FALSE,,,,ตัดชุดเที่ยว เดรส ทั่วไปตามลูกค้าต้องการ
3,สมบูรณ์สูท,FALSE,,,,FALSE,,,,TRUE,100,,งานของร้านแก้ฟรี,FALSE,,,,TRUE,100,,งานของร้านแก้ฟรี,FALSE,,,,FALSE,,,,FALSE,,,,ออกแบบ ผลิต ยูนิฟอร์ม ชุดราชการ เสื้อผ้าสำเร็จรูป รับแก้ทรงเสื้อผ้าบางจุด (เอว แขน เป็นต้น)
4,Mixer Uniform สะพานควาย,FALSE,,,,TRUE,10,ถ้าไม่เยอะรับงานได้เลย,บางงานไม่คิดเงิน,TRUE,80,รองานตามคิว 3-7 วัน อาจจะนานกว่านั้น หากงานยาก ต้องใช้เวลา โทรมาสอบถามก่อนรับงานได้,,FALSE,,,,TRUE,80,รองานตามคิว 3-7 วัน อาจจะนานกว่านั้น หากงานยาก ต้องใช้เวลา โทรมาสอบถามก่อนรับงานได้,,TRUE,30,รองานตามคิว 3-7 วัน อาจจะนานกว่านั้น หากงานยาก ต้องใช้เวลา โทรมาสอบถามก่อนรับงานได้,ดูตามรอยขาด,FALSE,,,,FALSE,,,,รับงานยุนิฟอร์มตามบริษัทต่าง ๆ 
5,Order ร้านตัดเสื้อ ชุดเครื่องแบบข้าราชการ สูท และยูนิฟอร์ม,TRUE,50,,ทุกงานต้องประเมิณราคาจากร้านก่อน,TRUE,10,ดูจำนวนการเปลี่ยนด้วย น้อยฏ้รับงานได้เลย,ราคาตามเม็ดทุกงานต้องประเมิณราคาจากร้านก่อน,FALSE,80,รองาน 7 วัน,ทุกงานต้องประเมิณราคาจากร้านก่อน,FALSE,,,,TRUE,50,รองาน 7 วัน,"ราคาแล้วแต่งาน ทุกงานต้องประเมิณราคาจากร้านก่อน ",FALSE,,,,FALSE,,,,FALSE,,,,ตัดชุดราชการ
6,ร้านตัดเสื้อลุงขจร,TRUE,40,3-7 วัน,40-50 ตามราคางาน,TRUE,20,3-7วัน,,FALSE,50,3-7วัน,,TRUE,50,3-7วัน,อาจจะแพงมากกว่านี้เพราะวัสดุเปลี่ยนแพง,TRUE,40,3-7วัน,40-60 ราคาแล้วแต่งาน,TRUE,20,3-7วัน,20-100 แล้วแต่แผลงาน,TRUE,50,3-7วัน,เอามาให้ร้านดูก่อน,FALSE,,,,แก้ทรงสูท
7,ร้านคุณป๋องรับแก้เปลี่ยนทรงเสื้อผ้า,TRUE,50,2 วัน,,TRUE,20,รับได้เลย,นับตามเม็ด,TRUE,50,7 วัน,ราคาแล้วแต่งาน,TRUE,60,7วัน,,TRUE,50,7วัน,,TRUE,20,7วัน,คิดราคาตามจุด,TRUE,50,7วัน,ต้องเอามาดูก่อน,TRUE,60,7วัน,ต้องมีผ้ามาเอง,ตัด แก้ ทรงสูท
8,ร้านซ่อมเสื้อพี่พร,FALSE,80,3 วัน ตามคิว,,TRUE,20,งานน้อยรับได้เลย,คิดราคาตามเม็ดกระดุม,TRUE,80,ตามคิว อยู่ที่ช่วงนั้นคิวมากหรือน้อย,แต่ละเนื้อผ้าราคาไม่เท่ากัน,TRUE,80,ตามคิว อยู่ที่ช่วงนั้นคิวมากหรือน้อย,,TRUE,80,ตามคิว อยู่ที่ช่วงนั้นคิวมากหรือน้อย,แต่ละเนื้อผ้าราคาไม่เท่ากัน,TRUE,20,แผลน้อยก็รอรับได้เลย,,TRUE,150,ตามคิว,เอางานมาดูก่อน บางอย่างทำไม่ได้,TRUE,150,ตามคิว,เอางานมาดูก่อน บางอย่างทำไม่ได้,แก้ทรงทุกชนิด ปรับเอวกางเกงยีนส์ ไม่รับงานตัดชุด
9,ร้านลุงก้องเกียรติซ่อมเสื้อ แก้ทรงเสื้อผ้า ตัดขากางเกง,TRUE,40,3 วัน,,TRUE,10,รอรับได้เลย,,TRUE,40,3 วัน,,TRUE,40,3 วัน,,TRUE,40,3 วัน,,TRUE,10,ขาดน้อยรอรับได้เลย,คิดตามรอยขาด ต้องดูสภาพก่อน,FALSE,,,,FALSE,,,,รับแก้ทรงเสื้อผ้า 
10,ร้านพรนิ่ม แก้ทรงเปลี่ยนทรง,TRUE,50,3 วัน,,TRUE,20,ซ่อมน้อยรับได้เลย,แล้วแต่จำนวน บางครั้งซ่อมน้อยก็ไม่คิดเงิน,TRUE,80,3 วัน,,TRUE,80,3 วัน,,TRUE,100,3 วัน,,TRUE,20,ขาดน้อยรอรับได้เลย,ราคาขึ้นอยู่กับรอยขาด,TRUE,100,3 วัน,ประเมินงานก่อน,TRUE,100,3 วัน,ประเมินงานก่อน,รับแก้ทรงเสื้อผ้า 
